Epoch [112/10000] | D: -56.2476 | G: -401.3927
Epoch [113/10000] | D: -21.4612 | G: -230.6425
Epoch [114/10000] | D: -44.2664 | G: -378.2222
Epoch [115/10000] | D: -28.5444 | G: -284.8954
Epoch [116/10000] | D: -77.7686 | G: -508.4497
Epoch [117/10000] | D: -55.0573 | G: -466.5024
Epoch [118/10000] | D: -20.0372 | G: -453.6231
Epoch [119/10000] | D: -36.8760 | G: -376.8408
Epoch [120/10000] | D: -9.2294 | G: -292.7270
Epoch [121/10000] | D: -58.9788 | G: -403.3990
Epoch [122/10000] | D: -39.1935 | G: -308.5589
Epoch [123/10000] | D: -39.9587 | G: -328.4395
Epoch [124/10000] | D: -40.8658 | G: -372.5354
Epoch [125/10000] | D: -48.5230 | G: -347.7130
Epoch [126/10000] | D: -36.6854 | G: -326.6367
Epoch [127/10000] | D: -10.0070 | G: -308.7784
Epoch [128/10000] | D: -29.2136 | G: -311.0694
Epoch [129/10000] | D: -30.8425 | G: -196.3286
Epoch [130/10000] | D: -30.4323 | G: -267.6451
Epoch [131/10000] | D: -44.7045 | G: -269.9618
Epoch [132/10000] | D: -40.9028 | G: -237.8124
Epoch [133/10000] | D: -56.9476 | G: -254.0418
Epoch [134/10000] | D: -64.5828 | G: -290.7821
Epoch [135/10000] | D: -12.8288 | G: -263.5316
Epoch [136/10000] | D: -39.2758 | G: -202.4433
Epoch [137/10000] | D: -59.3863 | G: -214.9783
Epoch [138/10000] | D: -24.0444 | G: -141.0811
Epoch [139/10000] | D: -27.5595 | G: -237.8602
Epoch [140/10000] | D: -52.4541 | G: -229.3194
Epoch [141/10000] | D: -23.9978 | G: -282.5476
Epoch [142/10000] | D: -17.5862 | G: -139.9046
Epoch [143/10000] | D: -46.3873 | G: -256.6727
Epoch [144/10000] | D: -31.2007 | G: -192.0708
Epoch [145/10000] | D: -51.6046 | G: -364.5156
Epoch [146/10000] | D: -53.0145 | G: -215.9469
Epoch [147/10000] | D: -33.0475 | G: -221.9669
Epoch [148/10000] | D: -50.4724 | G: -299.0863
Epoch [149/10000] | D: -38.3986 | G: -124.1121
Epoch [150/10000] | D: -47.4375 | G: -273.9302
Epoch [151/10000] | D: -32.7192 | G: -192.7713
Epoch [152/10000] | D: -27.2254 | G: -295.4814
Epoch [153/10000] | D: -48.8192 | G: -221.8598
Epoch [154/10000] | D: -55.1792 | G: -214.1923
Epoch [155/10000] | D: -67.6738 | G: -386.8228
Epoch [156/10000] | D: -37.8964 | G: -394.9970
Epoch [157/10000] | D: -48.5195 | G: -288.6601
Epoch [158/10000] | D: -48.0786 | G: -229.3948
Epoch [159/10000] | D: -51.8618 | G: -297.9501
Epoch [160/10000] | D: -46.7066 | G: -264.7800
Epoch [161/10000] | D: -68.8292 | G: -341.6253
Epoch [162/10000] | D: -30.2160 | G: -376.0492
Epoch [163/10000] | D: -25.9036 | G: -250.6967
Epoch [164/10000] | D: -48.4970 | G: -267.0829
Epoch [165/10000] | D: -25.1268 | G: -270.7104
Epoch [166/10000] | D: -64.1709 | G: -324.7924
Epoch [167/10000] | D: -40.3876 | G: -326.5586
Epoch [168/10000] | D: -29.1018 | G: -370.0780
Epoch [169/10000] | D: -45.8906 | G: -170.9053
Epoch [170/10000] | D: -47.6312 | G: -334.2038
Epoch [171/10000] | D: -28.1036 | G: -254.1532
Epoch [172/10000] | D: -44.2946 | G: -287.9581
Epoch [173/10000] | D: -37.1222 | G: -145.8737
Epoch [174/10000] | D: -78.1507 | G: -407.5849
Epoch [175/10000] | D: -46.1836 | G: -263.2573
Epoch [176/10000] | D: -47.0326 | G: -238.2608
Epoch [177/10000] | D: -67.9661 | G: -291.7036
Epoch [178/10000] | D: -47.3456 | G: -211.2365
Epoch [179/10000] | D: -48.3819 | G: -270.9079
Epoch [180/10000] | D: -28.2841 | G: -288.4736
Epoch [181/10000] | D: -33.9592 | G: -241.6950
Epoch [182/10000] | D: -46.7569 | G: -186.8441
Epoch [183/10000] | D: -35.2988 | G: -173.4821
Epoch [184/10000] | D: -55.2090 | G: -317.9332
Epoch [185/10000] | D: -32.3846 | G: -334.6738
Epoch [186/10000] | D: -39.3196 | G: -213.0250
Epoch [187/10000] | D: -62.4833 | G: -256.0721
Epoch [188/10000] | D: -54.0167 | G: -235.6641
Epoch [189/10000] | D: -63.1997 | G: -377.1823
Epoch [190/10000] | D: -48.8370 | G: -339.6639
Epoch [191/10000] | D: -85.0139 | G: -382.8123
Epoch [192/10000] | D: -66.5753 | G: -357.2328
Epoch [193/10000] | D: -11.2748 | G: -283.1685
Epoch [194/10000] | D: -30.0800 | G: -340.5530
Epoch [195/10000] | D: -27.3046 | G: -225.4555
Epoch [196/10000] | D: -32.1312 | G: -255.1873
Epoch [197/10000] | D: -66.9181 | G: -362.5712
Epoch [198/10000] | D: -34.4744 | G: -306.0030
Epoch [199/10000] | D: -36.6585 | G: -276.6364
Epoch [200/10000] | D: -45.0270 | G: -313.8235
Váhy pro generátor a diskriminátor při epoše 200 byly uloženy.
Vizualizace mřížky pro epochu 200
