Epoch [112/10000] | D: -24.0894 | G: -250.3751
Epoch [113/10000] | D: -40.7547 | G: -261.6343
Epoch [114/10000] | D: -41.1006 | G: -254.0122
Epoch [115/10000] | D: -44.5500 | G: -247.8753
Epoch [116/10000] | D: -33.1112 | G: -279.3759
Epoch [117/10000] | D: -20.2045 | G: -264.0769
Epoch [118/10000] | D: -37.3250 | G: -251.1656
Epoch [119/10000] | D: -13.2807 | G: -221.4248
Epoch [120/10000] | D: -31.3030 | G: -231.5376
Epoch [121/10000] | D: -61.4308 | G: -174.6579
Epoch [122/10000] | D: -28.8611 | G: -133.1627
Epoch [123/10000] | D: -37.5233 | G: -122.3546
Epoch [124/10000] | D: -30.1803 | G: 36.7706
Epoch [125/10000] | D: -39.5460 | G: -84.0862
Epoch [126/10000] | D: -51.0221 | G: -92.7681
Epoch [127/10000] | D: -40.0526 | G: -110.8981
Epoch [128/10000] | D: -17.8563 | G: -176.3108
Epoch [129/10000] | D: -21.8940 | G: -54.1188
Epoch [130/10000] | D: -36.1263 | G: -199.9722
Epoch [131/10000] | D: -32.3612 | G: -282.6647
Epoch [132/10000] | D: -40.1376 | G: -218.9725
Epoch [133/10000] | D: -26.8664 | G: -249.7809
Epoch [134/10000] | D: -34.1407 | G: -198.4417
Epoch [135/10000] | D: -20.0822 | G: -160.0521
Epoch [136/10000] | D: -18.6765 | G: -175.8429
Epoch [137/10000] | D: -28.7873 | G: -112.0743
Epoch [138/10000] | D: -37.7600 | G: -150.2247
Epoch [139/10000] | D: -44.8754 | G: -89.6113
Epoch [140/10000] | D: -26.1890 | G: -87.0583
Epoch [141/10000] | D: -45.6539 | G: -215.9092
Epoch [142/10000] | D: -48.7310 | G: -292.4822
Epoch [143/10000] | D: -47.0264 | G: -306.9749
Epoch [144/10000] | D: -42.5223 | G: -249.3238
Epoch [145/10000] | D: -35.6701 | G: -162.0004
Epoch [146/10000] | D: -18.3139 | G: -134.8763
Epoch [147/10000] | D: -32.2120 | G: -181.1260
Epoch [148/10000] | D: -22.4555 | G: -262.0018
Epoch [149/10000] | D: -61.1386 | G: -290.2728
Epoch [150/10000] | D: -9.2386 | G: -175.9183
Epoch [151/10000] | D: -29.5890 | G: -300.2043
Epoch [152/10000] | D: -38.2485 | G: -358.8322
Epoch [153/10000] | D: -17.3168 | G: -133.8871
Epoch [154/10000] | D: -43.8492 | G: -98.6277
Epoch [155/10000] | D: -42.8862 | G: -199.5592
Epoch [156/10000] | D: -25.6494 | G: -290.5447
Epoch [157/10000] | D: -44.6311 | G: -163.5644
Epoch [158/10000] | D: -40.6814 | G: -267.8950
Epoch [159/10000] | D: -37.3515 | G: -137.9564
Epoch [160/10000] | D: -48.9792 | G: -209.5716
Epoch [161/10000] | D: -9.5435 | G: -215.7901
Epoch [162/10000] | D: -42.2465 | G: -252.9240
Epoch [163/10000] | D: -13.6661 | G: -320.6180
Epoch [164/10000] | D: -32.5046 | G: -273.8479
Epoch [165/10000] | D: -14.6202 | G: -166.9184
Epoch [166/10000] | D: -25.9622 | G: -205.8127
Epoch [167/10000] | D: -19.7497 | G: -294.8534
Epoch [168/10000] | D: -36.7755 | G: -289.8514
Epoch [169/10000] | D: -41.9860 | G: -314.7648
Epoch [170/10000] | D: -35.1323 | G: -309.8348
Epoch [171/10000] | D: -30.0854 | G: -276.1464
Epoch [172/10000] | D: -23.1797 | G: -279.6154
Epoch [173/10000] | D: -27.4402 | G: -192.1838
Epoch [174/10000] | D: 9.2806 | G: -287.1160
Epoch [175/10000] | D: -8.4889 | G: -174.3589
Epoch [176/10000] | D: -69.0336 | G: -107.3285
Epoch [177/10000] | D: -12.9710 | G: -210.9802
Epoch [178/10000] | D: -35.4984 | G: -270.7955
Epoch [179/10000] | D: -35.7469 | G: -226.4243
Epoch [180/10000] | D: -48.1431 | G: -121.9281
Epoch [181/10000] | D: -26.2816 | G: -294.8048
Epoch [182/10000] | D: -16.7389 | G: -205.9884
Epoch [183/10000] | D: -5.3081 | G: -220.7301
Epoch [184/10000] | D: -44.2557 | G: -310.1074
Epoch [185/10000] | D: -3.0375 | G: -279.6602
Epoch [186/10000] | D: -26.3144 | G: -264.2462
Epoch [187/10000] | D: -35.8245 | G: -254.6682
Epoch [188/10000] | D: -33.9631 | G: -236.3630
Epoch [189/10000] | D: -28.8892 | G: -188.9014
Epoch [190/10000] | D: -31.9673 | G: -53.8013
Epoch [191/10000] | D: -5.6310 | G: -187.3103
Epoch [192/10000] | D: -30.6089 | G: -277.3156
Epoch [193/10000] | D: -38.7266 | G: -182.3525
Epoch [194/10000] | D: -28.1884 | G: -144.5631
Epoch [195/10000] | D: -29.1575 | G: -148.5318
Epoch [196/10000] | D: -28.5587 | G: -149.7656
Epoch [197/10000] | D: -43.5625 | G: -235.2378
Epoch [198/10000] | D: -16.2049 | G: -206.0989
Epoch [199/10000] | D: -10.9392 | G: -214.6266
Epoch [200/10000] | D: -18.1144 | G: -317.2334
Váhy pro generátor a diskriminátor při epoše 200 byly uloženy.
Vizualizace mřížky pro epochu 200
Obrázek uložen do vizualizace\epoch_00200.png
Epoch [201/10000] | D: -43.8387 | G: -230.1777
Epoch [202/10000] | D: -48.6728 | G: -128.8683
Epoch [203/10000] | D: -19.3077 | G: -240.3510
Epoch [204/10000] | D: -37.9965 | G: -329.2527
Epoch [205/10000] | D: -37.3514 | G: -165.6939
Epoch [206/10000] | D: -32.4725 | G: -224.3836
Epoch [207/10000] | D: -30.8395 | G: -260.0562
Epoch [208/10000] | D: -23.9415 | G: -235.0249
Epoch [209/10000] | D: -16.6948 | G: -199.9433
Epoch [210/10000] | D: -38.3219 | G: -217.5924
Epoch [211/10000] | D: -31.7679 | G: -194.4243
Epoch [212/10000] | D: -14.3015 | G: -219.3571
Epoch [213/10000] | D: -43.4784 | G: -230.8114
Epoch [214/10000] | D: -23.4099 | G: -206.2293
