Epoch [112/10000] | D: -44.5637 | G: -128.6334
Epoch [113/10000] | D: -57.6218 | G: -105.0112
Epoch [114/10000] | D: -81.0322 | G: -132.6377
Epoch [115/10000] | D: -73.9854 | G: -95.4556
Epoch [116/10000] | D: -87.0746 | G: -157.2309
Epoch [117/10000] | D: -25.7840 | G: -224.0407
Epoch [118/10000] | D: -70.4453 | G: -58.3559
Epoch [119/10000] | D: -29.4382 | G: -139.4240
Epoch [120/10000] | D: -68.5935 | G: -105.4761
Epoch [121/10000] | D: -52.7857 | G: -62.8265
Epoch [122/10000] | D: -55.5050 | G: 30.0991
Epoch [123/10000] | D: -38.9064 | G: -86.8846
Epoch [124/10000] | D: -71.6155 | G: -43.5901
Epoch [125/10000] | D: -63.6299 | G: -109.2008
Epoch [126/10000] | D: -74.3807 | G: -221.1524
Epoch [127/10000] | D: -92.3494 | G: -23.9786
Epoch [128/10000] | D: -69.0998 | G: -142.5646
Epoch [129/10000] | D: -56.4729 | G: -46.1290
Epoch [130/10000] | D: -75.0041 | G: -223.5510
Epoch [131/10000] | D: -65.5137 | G: 88.9064
Epoch [132/10000] | D: -91.8041 | G: -5.7241
Epoch [133/10000] | D: -46.5616 | G: 56.3590
Epoch [134/10000] | D: -83.9167 | G: 16.7838
Epoch [135/10000] | D: -64.6066 | G: -253.2458
Epoch [136/10000] | D: -62.0225 | G: -97.1608
Epoch [137/10000] | D: -55.5761 | G: -233.3936
Epoch [138/10000] | D: -48.3494 | G: -38.9979
Epoch [139/10000] | D: -42.8773 | G: -155.7894
Epoch [140/10000] | D: -102.3676 | G: -173.4064
Epoch [141/10000] | D: -91.0714 | G: -137.5948
Epoch [142/10000] | D: -87.1120 | G: -157.4802
Epoch [143/10000] | D: -33.0192 | G: -151.3355
Epoch [144/10000] | D: -80.1831 | G: 42.3139
Epoch [145/10000] | D: -39.7944 | G: -10.9238
Epoch [146/10000] | D: -65.4641 | G: -213.2993
Epoch [147/10000] | D: -44.2409 | G: -80.4953
Epoch [148/10000] | D: -108.4538 | G: 7.9718
Epoch [149/10000] | D: -74.0861 | G: -59.7632
Epoch [150/10000] | D: -51.3622 | G: -14.4047
Epoch [151/10000] | D: -56.9022 | G: 14.0634
Epoch [152/10000] | D: -50.2248 | G: -168.7606
Epoch [153/10000] | D: -48.6720 | G: -326.2544
Epoch [154/10000] | D: -29.5808 | G: -40.4415
Epoch [155/10000] | D: -54.1284 | G: 80.2132
Epoch [156/10000] | D: -81.9889 | G: -30.2585
Epoch [157/10000] | D: -62.3944 | G: 46.3759
Epoch [158/10000] | D: -3.1288 | G: -137.2501
Epoch [159/10000] | D: -73.8150 | G: 53.0139
Epoch [160/10000] | D: -19.9200 | G: -149.8832
Epoch [161/10000] | D: -68.8565 | G: 79.0083
Epoch [162/10000] | D: -86.0040 | G: -57.8454
Epoch [163/10000] | D: -21.6262 | G: -73.5842
Epoch [164/10000] | D: -36.2927 | G: -133.1228
Epoch [165/10000] | D: -50.5675 | G: -152.1571
Epoch [166/10000] | D: -23.9592 | G: -8.1033
Epoch [167/10000] | D: -28.1361 | G: -217.5022
Epoch [168/10000] | D: -95.6696 | G: -38.4024
Epoch [169/10000] | D: -45.6317 | G: -248.3309
Epoch [170/10000] | D: -43.4980 | G: 20.8170
Epoch [171/10000] | D: -109.5575 | G: -216.1830
Epoch [172/10000] | D: -56.4724 | G: -211.6613
Epoch [173/10000] | D: -82.4991 | G: -108.2964
Epoch [174/10000] | D: -36.2780 | G: -82.0750
Epoch [175/10000] | D: -49.9688 | G: 13.2283
Epoch [176/10000] | D: -45.0225 | G: -29.4749
Epoch [177/10000] | D: -26.9690 | G: -136.4683
Epoch [178/10000] | D: -45.5978 | G: -166.0899
Epoch [179/10000] | D: -32.7559 | G: -16.2447
Epoch [180/10000] | D: -59.0246 | G: -6.5681
Epoch [181/10000] | D: -58.1907 | G: -16.2413
Epoch [182/10000] | D: -126.3048 | G: -256.8484
Epoch [183/10000] | D: -86.5597 | G: -125.7538
Epoch [184/10000] | D: -50.4528 | G: -16.8998
Epoch [185/10000] | D: -24.0859 | G: -49.9199
Epoch [186/10000] | D: -29.3760 | G: -98.5057
Epoch [187/10000] | D: -19.5264 | G: -121.9602
Epoch [188/10000] | D: -65.5022 | G: -24.9190
Epoch [189/10000] | D: -58.5685 | G: -106.5246
Epoch [190/10000] | D: -55.7184 | G: -68.7769
Epoch [191/10000] | D: -35.6353 | G: -129.7732
Epoch [192/10000] | D: -63.8142 | G: -140.5148
Epoch [193/10000] | D: -36.8565 | G: -101.8243
Epoch [194/10000] | D: -30.3459 | G: -71.3577
Epoch [195/10000] | D: -49.9760 | G: -12.5645
Epoch [196/10000] | D: -79.2974 | G: -113.0165
Epoch [197/10000] | D: -62.5440 | G: -146.2153
Epoch [198/10000] | D: -11.8654 | G: -23.1462
Epoch [199/10000] | D: -74.6030 | G: -211.6965
Epoch [200/10000] | D: -72.2816 | G: -83.1338
Váhy pro generátor a diskriminátor při epoše 200 byly uloženy.
Vizualizace mřížky pro epochu 200
Obrázek uložen do vizualizace\epoch_00200.png
Epoch [201/10000] | D: -47.0794 | G: -33.7626
Epoch [202/10000] | D: -27.1914 | G: -91.8653
Epoch [203/10000] | D: -50.8391 | G: 85.8872
Epoch [204/10000] | D: -36.1919 | G: -22.4436
Epoch [205/10000] | D: -7.4343 | G: -175.7503
Epoch [206/10000] | D: -62.9578 | G: -147.6064
Epoch [207/10000] | D: -35.0625 | G: -99.8211
Epoch [208/10000] | D: -49.6743 | G: -91.9401
Epoch [209/10000] | D: -58.5620 | G: -81.2939
Epoch [210/10000] | D: -52.2402 | G: -9.3893
Epoch [211/10000] | D: -28.8752 | G: -101.0731
Epoch [212/10000] | D: -57.8774 | G: -107.8889
Epoch [213/10000] | D: -41.4695 | G: -102.1396
Epoch [214/10000] | D: -53.9416 | G: 36.1833
Epoch [215/10000] | D: -36.5226 | G: -92.0623
Epoch [216/10000] | D: -29.9187 | G: 12.0357
Epoch [217/10000] | D: -74.6065 | G: 17.2217
Epoch [218/10000] | D: -28.9643 | G: -75.2709
Epoch [219/10000] | D: -59.6528 | G: 54.1684
Epoch [220/10000] | D: -71.9921 | G: -151.6464
Epoch [221/10000] | D: -46.2456 | G: -12.8409
Epoch [222/10000] | D: -46.2607 | G: -77.3882
Epoch [223/10000] | D: -64.4592 | G: -86.3843
Epoch [224/10000] | D: -79.7442 | G: 2.1141
Epoch [225/10000] | D: -18.3969 | G: -278.8834
Epoch [226/10000] | D: -61.0589 | G: -83.8336
Epoch [227/10000] | D: -88.3893 | G: -14.3112
Epoch [228/10000] | D: -71.6322 | G: -191.4415
Epoch [229/10000] | D: -61.5951 | G: -66.2079
Epoch [230/10000] | D: -35.0434 | G: -0.3048
Epoch [231/10000] | D: -90.8405 | G: -100.9919
Epoch [232/10000] | D: -54.9899 | G: -165.9439
Epoch [233/10000] | D: -32.7868 | G: -122.2526
Epoch [234/10000] | D: -66.4392 | G: -313.7611
Epoch [235/10000] | D: -50.5351 | G: 3.1014
Epoch [236/10000] | D: -45.1621 | G: -126.6454
Epoch [237/10000] | D: -50.3138 | G: -72.4732
Epoch [238/10000] | D: -40.0706 | G: 1.4863
Epoch [239/10000] | D: -38.9423 | G: -166.8974
Epoch [240/10000] | D: -35.3953 | G: -97.1222
Epoch [241/10000] | D: -23.8093 | G: -91.9975
Epoch [242/10000] | D: -51.1023 | G: -130.7781
Epoch [243/10000] | D: -36.2456 | G: -73.6697
Epoch [244/10000] | D: -44.5538 | G: -67.7697
Epoch [245/10000] | D: -41.8469 | G: -87.5342
Epoch [246/10000] | D: -57.5646 | G: -59.0731
Epoch [247/10000] | D: -46.1379 | G: -42.6835
Epoch [248/10000] | D: -65.7895 | G: -151.3649
Epoch [249/10000] | D: -70.7782 | G: -247.4665
Epoch [250/10000] | D: -80.0102 | G: -87.8928
Epoch [251/10000] | D: -95.1354 | G: -210.6916
Epoch [252/10000] | D: -96.0333 | G: -81.8489
Epoch [253/10000] | D: -97.7087 | G: -303.9690
Epoch [254/10000] | D: -10.9699 | G: -162.5588
Epoch [255/10000] | D: -26.3746 | G: -190.8844
Epoch [256/10000] | D: -19.7139 | G: -70.1780
Epoch [257/10000] | D: -56.7726 | G: -98.3602
Epoch [258/10000] | D: -78.1343 | G: -222.2588
Epoch [259/10000] | D: -13.6949 | G: 65.8210
Epoch [260/10000] | D: -48.4693 | G: -74.5858
Epoch [261/10000] | D: -71.9860 | G: -4.9819
Epoch [262/10000] | D: -24.8817 | G: -60.5066
Epoch [263/10000] | D: -1.4164 | G: -214.9675
Epoch [264/10000] | D: -57.6840 | G: -83.7845
Epoch [265/10000] | D: -45.1130 | G: -115.4791
Epoch [266/10000] | D: 1.9633 | G: -78.6266
Epoch [267/10000] | D: -66.2907 | G: -88.4370
Epoch [268/10000] | D: -31.6030 | G: -45.1320
Epoch [269/10000] | D: -38.6027 | G: -110.6079
Epoch [270/10000] | D: -99.8681 | G: -51.3617
Epoch [271/10000] | D: -68.6956 | G: 49.2252
Epoch [272/10000] | D: -46.7771 | G: -29.3778
Epoch [273/10000] | D: -42.7272 | G: 67.8497
Epoch [274/10000] | D: -78.7889 | G: -139.3011
Epoch [275/10000] | D: -46.0347 | G: 27.8418
Epoch [276/10000] | D: -107.5337 | G: 184.1533
Epoch [277/10000] | D: -24.3617 | G: -174.4635
Epoch [278/10000] | D: -64.5418 | G: -172.8696
Epoch [279/10000] | D: -23.9325 | G: -115.7621
Epoch [280/10000] | D: -49.0630 | G: -126.1313
Epoch [281/10000] | D: -12.1275 | G: -32.6530
Epoch [282/10000] | D: -47.3585 | G: -67.4226
Epoch [283/10000] | D: -79.2201 | G: -210.5032
Epoch [284/10000] | D: -36.1911 | G: -52.0949
Epoch [285/10000] | D: -23.7560 | G: -8.8871
Epoch [286/10000] | D: -46.4908 | G: -161.7807
Epoch [287/10000] | D: -43.8052 | G: -109.8423
Epoch [288/10000] | D: -29.9837 | G: -107.7806
Epoch [289/10000] | D: -42.0690 | G: 69.7803
Epoch [290/10000] | D: -43.9426 | G: -249.9320
Epoch [291/10000] | D: -5.2325 | G: -127.8648
Epoch [292/10000] | D: -65.9531 | G: -30.3638
Epoch [293/10000] | D: -20.4336 | G: -128.2470
Epoch [294/10000] | D: -51.7420 | G: -62.9939
Epoch [295/10000] | D: -40.3045 | G: -128.2518
Epoch [296/10000] | D: -10.5125 | G: -2.0588
Epoch [297/10000] | D: -40.0091 | G: -152.3108
Epoch [298/10000] | D: -13.6750 | G: -100.7668
Epoch [299/10000] | D: -19.1922 | G: -80.2016
Epoch [300/10000] | D: -28.6973 | G: -234.6444
Váhy pro generátor a diskriminátor při epoše 300 byly uloženy.
Vizualizace mřížky pro epochu 300
Obrázek uložen do vizualizace\epoch_00300.png
Epoch [301/10000] | D: -45.6030 | G: -12.9337
Epoch [302/10000] | D: -41.8729 | G: -61.6174
Epoch [303/10000] | D: 0.6473 | G: -166.8561
Epoch [304/10000] | D: -17.2514 | G: -115.4698
Epoch [305/10000] | D: -20.0808 | G: -173.8591
Epoch [306/10000] | D: -45.2912 | G: -152.8297
Epoch [307/10000] | D: -56.4815 | G: -79.2130
Epoch [308/10000] | D: -65.1194 | G: 18.4993
Epoch [309/10000] | D: -32.7052 | G: -202.4134
Epoch [310/10000] | D: -7.2538 | G: -121.2944
Epoch [311/10000] | D: -55.0155 | G: -198.9905
Epoch [312/10000] | D: -55.1629 | G: -19.5287
Epoch [313/10000] | D: -36.5828 | G: -146.9578
Epoch [314/10000] | D: -30.3112 | G: -22.7729
Epoch [315/10000] | D: -30.7275 | G: -170.5250
Epoch [316/10000] | D: -69.4303 | G: -126.8337
Epoch [317/10000] | D: -69.0233 | G: -107.8291
Epoch [318/10000] | D: -60.3224 | G: -51.8977
Epoch [319/10000] | D: -10.5044 | G: -148.6111
Epoch [320/10000] | D: -51.0547 | G: -89.0362
Epoch [321/10000] | D: -48.3182 | G: -130.2001
Epoch [322/10000] | D: -2.6453 | G: -97.8399
Epoch [323/10000] | D: -48.0727 | G: -212.7318
Epoch [324/10000] | D: -66.4004 | G: -138.7927
Epoch [325/10000] | D: -16.7357 | G: -230.5417
